seq,coremotion_timestamp,host_timestamp_utc,sensor_location,user_accel_x,user_accel_y,user_accel_z,gravity_x,gravity_y,gravity_z,ax,ay,az,gx,gy,gz
0,4465206.391658626,1790319119.440979000,left,-0.091407537,0.555525661,0.308563054,0.938714325,-0.302112401,0.165962398,0.847306788,0.253413260,0.474525452,0.000160884,-0.033220761,0.030768648
1,4465206.431658626,1790319119.441053900,left,-0.099773645,0.284581214,0.139672905,0.945288599,-0.025075866,0.325270623,0.845514953,0.259505348,0.464943528,-0.000399588,-0.023879441,0.022781957
2,4465206.471658626,1790319119.441083000,left,-0.009306431,0.014726609,-0.002246320,0.853029251,0.250870854,0.457607836,0.843722820,0.265597463,0.455361515,-0.000960061,-0.014538120,0.014795264
3,4465206.511658626,1790319119.483284000,left,-0.009037137,0.011267692,0.006496638,0.855525434,0.247123674,0.454979330,0.846488297,0.258391365,0.461475968,0.008699049,-0.020236518,0.037158161
4,4465206.551658626,1790319119.533465000,left,0.000763357,-0.000858098,-0.005505443,0.852326393,0.255254000,0.456492215,0.853089750,0.254395902,0.450986773,-0.012054470,0.033224680,0.004330315
5,4465206.591658626,1790319119.559876000,left,-0.011243165,0.003000915,0.016945243,0.849222779,0.259495497,0.459872425,0.837979615,0.262496412,0.476817667,-0.016097458,-0.007613163,-0.006256825
6,4465206.631658626,1790319119.603458000,left,-0.011729896,0.006504357,0.009710610,0.851130128,0.257700443,0.457349360,0.839400232,0.264204800,0.467059970,0.022773558,0.000611774,0.017202046
7,4465206.671658626,1790319119.661921000,left,-0.004987061,0.002121121,0.003807068,0.850722432,0.257147491,0.458417714,0.845735371,0.259268612,0.462224782,0.007254472,0.002382422,0.007701108
8,4465206.711658626,1790319119.742405000,left,-0.000923753,0.000875920,-0.001415402,0.850545287,0.257060409,0.458795339,0.849621534,0.257936329,0.457379937,0.006174280,0.008245829,0.002996312
9,4465206.751658626,1790319119.742442100,left,0.002962351,-0.000456393,-0.006260395,0.850545287,0.257060409,0.458795339,0.853507638,0.256604016,0.452534944,0.005094088,0.014109237,-0.001708484
10,4465206.791658626,1790319119.759870000,left,-0.004048765,0.001350045,0.002071291,0.849342644,0.257057935,0.461018473,0.845293880,0.258407980,0.463089764,-0.015965207,0.012660091,-0.015630877
11,4465206.831609125,1790319119.861152200,left,-0.002530473,-0.002799814,0.003248580,0.849620044,0.256968856,0.460556924,0.847089571,0.254169042,0.463805505,0.004921071,-0.008924666,0.002599924
12,4465206.926830667,1790319119.895747000,left,-0.000190986,-0.000655950,-0.006291865,0.849910498,0.256849021,0.460087419,0.849719512,0.256193071,0.453795553,0.001292805,0.002484080,-0.002723378
13,4465207.166830667,1790319120.211866000,left,-0.094902158,0.522078633,0.267125517,0.945384443,-0.266167969,0.188156009,0.850482285,0.255910665,0.455281526,-0.035231605,0.011793672,-0.030245023
14,4465207.206830667,1790319120.211904000,left,-0.089256644,0.246710956,0.113555849,0.939116001,0.010020085,0.343453407,0.849859357,0.256731041,0.457009256,-0.017611613,0.005904332,-0.021877386
15,4465207.246830667,1790319120.241838000,left,-0.044687510,0.096633077,0.039533734,0.892353415,0.162254840,0.421163440,0.847665906,0.258887917,0.460697174,-0.009122605,0.005658180,0.010158461
16,4465207.286830667,1790319120.325361000,left,-0.030235767,0.060343698,0.025141865,0.877681971,0.197543129,0.436635941,0.847446203,0.257886827,0.461777806,-0.011679375,0.000289146,0.007771653
17,4465207.326830667,1790319120.325391000,left,-0.014253199,0.024453178,0.011385590,0.861479819,0.232432559,0.451473027,0.847226620,0.256885737,0.462858617,-0.014236145,-0.005079887,0.005384845
18,4465207.366830668,1790319120.352810900,left,-0.002892852,0.005506292,-0.001476794,0.852770865,0.249878570,0.458630830,0.849878013,0.255384862,0.457154036,-0.004407494,-0.001572727,0.001667142
19,4465207.406830668,1790319120.408805800,left,0.001638710,0.000346929,-0.005804896,0.850162327,0.254229486,0.461076081,0.851801038,0.254576415,0.455271184,-0.021722466,0.024037864,-0.020943111
20,4465207.446830668,1790319120.443609000,left,-0.005194187,0.002940685,0.005486906,0.848522782,0.256257206,0.462969929,0.843328595,0.259197891,0.468456835,-0.013187778,0.018200355,-0.011419977
21,4465207.486830668,1790319120.473605200,left,-0.003119946,-0.001553744,0.005460560,0.848634303,0.256894529,0.462412387,0.845514357,0.255340785,0.467872947,0.002838069,-0.010430945,-0.001750101
22,4465207.526830668,1790319120.532113000,left,-0.001435816,-0.001136661,0.001528680,0.848779976,0.257213652,0.461967498,0.847344160,0.256076992,0.463496178,0.021821558,-0.028589936,0.012280948
23,4465207.566830668,1790319120.569260100,left,-0.007791758,0.008166462,-0.000070512,0.849038959,0.257253051,0.461469352,0.841247201,0.265419513,0.461398840,0.021531321,-0.031165928,0.021937359
